price,side,trade_open,prev_price,prev_side
,,,,
,,,,
,,,,
18331.25,S,True,,
,,,18331.25,S
,,,18331.25,S
,,,18331.25,S
,,,18331.25,S
,,,18331.25,S
,,,18331.25,S
,,,18331.25,S
,,,18331.25,S
,,,18331.25,S
,,,18331.25,S
18335.75,B,False,18331.25,S
,,,18335.75,B
,,,18335.75,B
18337.5,B,True,18335.75,B
18334.75,S,False,18337.5,B
,,,18334.75,S
,,,18334.75,S
,,,18334.75,S
,,,18334.75,S
,,,18334.75,S
,,,18334.75,S
,,,18334.75,S
,,,18334.75,S
,,,18334.75,S
,,,18334.75,S
,,,18334.75,S
,,,18334.75,S
,,,18334.75,S
,,,18334.75,S
,,,18334.75,S
,,,18334.75,S
,,,18334.75,S
,,,18334.75,S
,,,18334.75,S
18337.0,S,True,18334.75,S
,,,18337.0,S
,,,18337.0,S
,,,18337.0,S
,,,18337.0,S
,,,18337.0,S
,,,18337.0,S
,,,18337.0,S
,,,18337.0,S
,,,18337.0,S
,,,18337.0,S
,,,18337.0,S
,,,18337.0,S
,,,18337.0,S
,,,18337.0,S
,,,18337.0,S
,,,18337.0,S
,,,18337.0,S
,,,18337.0,S
,,,18337.0,S
,,,18337.0,S
,,,18337.0,S
